field,mal_id,title,popularity,selected_value,unique_raw_values,unique_normalized_values,mal_value,anilist_value,anidb_value,derived_value
demographics,10330,Bakugan Battle Brawlers: Mechtanium Surge,3651,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,1469,Monster Farm: Enbanseki no Himitsu,3657,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,2962,Digimon Adventure 02 Movies,3660,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,49842,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... Movie,3679,Shoujo,Shoujo|Shoujo|Josei,josei|shoujo|shoujo,Shoujo,Shoujo,Shoujo|Josei,
demographics,24625,Gundam Build Fighters Try,3680,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,15061,Aikatsu!,3700,Kodomo,Kodomo|Shoujo,kodomo|shoujo,,Kodomo,Shoujo,
demographics,6791,Kanokon: Manatsu no Dai Shanikusai,3707,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,33031,Shakunetsu no Takkyuu Musume,3710,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,36992,Itou Junji: Collection - Tomie,3715,Shoujo,Josei|Seinen|Shoujo,josei|seinen|shoujo,Shoujo,Josei,Seinen,
demographics,385,Gilgamesh,3733,Shounen,Seinen|Shounen,seinen|shounen,Shounen,,Seinen,
demographics,33733,Inazuma Eleven: Ares no Tenbin,3742,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,42994,Jashin-chan Dropkick X,3780,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,,Seinen,Shounen|Seinen,
demographics,1520,Black Jack,3784,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Seinen,Shounen,
demographics,3653,Kurogane no Linebarrels,3858,Shounen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Shounen,
demographics,34823,Souryo to Majiwaru Shikiyoku no Yoru ni...,3872,Josei,Josei|Josei|18+,18+|josei|josei,Josei,Josei,Josei|18+,
demographics,36927,Pokemon Movie 21: Minna no Monogatari,3875,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,31178,Uta no☆Prince-sama♪ Maji Love Legend Star,3879,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,448,Tenjou Tenge: The Ultimate Fight,3884,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,1372,Taiho Shichau zo (TV),3900,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Seinen,Shounen,
demographics,800,NieA Under 7,3927,Shounen,Kodomo|Shounen,kodomo|shounen,Shounen,,Kodomo,
demographics,173,Tactics,3944,Shounen,Shoujo|Shounen|Shounen|Shoujo,shoujo|shoujo|shounen|shounen,Shounen,Shoujo,Shounen|Shoujo,
demographics,33726,Saiyuuki Reload Blast,3945,Josei,Josei|Shoujo|Josei,josei|josei|shoujo,Josei,Josei,Shoujo|Josei,
demographics,13859,Accel World: Acchel World.,3958,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,1710,Rockman.EXE,3969,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,4021,Seiyou Kottou Yougashiten: Antique,4025,Shoujo,Josei|Shoujo,josei|shoujo,Shoujo,Shoujo,Josei,
demographics,36840,25-sai no Joshikousei,4034,Josei,Josei|Shoujo|18+,18+|shoujo|josei,Josei,Josei,Shoujo|18+,
demographics,3615,Neo Angelique Abyss,4110,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,1221,Demashita! Powerpuff Girls Z,4116,Kodomo,Kodomo|Shoujo,kodomo|shoujo,,Kodomo,Shoujo,
demographics,5973,Fight Ippatsu! Juuden-chan!!,4133,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,3298,Hatenkou Yuugi,4137,Josei,Josei|Shounen|Josei,josei|josei|shounen,Josei,Josei,Shounen|Josei,
demographics,31049,Beyblade Burst,4141,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,19157,Youkai Watch,4155,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,130,Saiyuuki Reload,4195,Josei,Josei|Shoujo|Josei,josei|josei|shoujo,Josei,Josei,Shoujo|Josei,
demographics,9032,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,4202,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,229,Ninin ga Shinobuden,4222,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,,Shounen,Shounen|Seinen,
demographics,788,Eiken: Eikenbu yori Ai wo Komete,4249,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Shounen,Seinen,
demographics,7645,Heartcatch Precure!,4250,Kodomo,Kodomo|Shoujo,kodomo|shoujo,,Kodomo,Shoujo,
demographics,576,Magikano,4255,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Shounen,Seinen,
demographics,38799,Koukaku Kidoutai: SAC_2045,4269,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Seinen,Shounen,
demographics,2354,Devilman: Tanjou-hen,4304,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Shounen,Seinen,
demographics,12449,Maken-Ki! Specials,4310,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,Shounen,Shounen|Seinen,
demographics,37320,Amai Choubatsu: Watashi wa Kanshu Senyou Pet,4336,Josei,Josei|Josei|18+,18+|josei|josei,Josei,Josei,Josei|18+,
demographics,60071,Odayaka Kizoku no Kyuuka no Susume.,4349,Josei,Josei|Shoujo,josei|shoujo,,Josei,Shoujo,
demographics,8475,Asura,4352,Seinen,Seinen|Shounen,seinen|shounen,,Seinen,Shounen,
demographics,40254,XL Joushi.,4372,Josei,Josei|Josei|18+,18+|josei|josei,Josei,Josei,Josei|18+,
demographics,1527,Pokemon: Senritsu no Mirage Pokemon,4381,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,37245,Gundam Build Divers,4383,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,2942,Sketchbook: Full Color's,4391,Shounen,Seinen|Shounen|Shounen|Seinen,seinen|seinen|shounen|shounen,Shounen,Seinen,Shounen|Seinen,
demographics,5717,Kiniro no Corda: Secondo Passo,4401,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,3322,Wagaya no Oinari-sama.,4430,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,23301,Pokemon XY: Mega Evolution,4447,Kodomo,Kodomo|Kodomo|Shounen,kodomo|kodomo|shounen,Kodomo,Kodomo|Shounen,,
